Course	Room	Teacher	Time	Students
33	PK234	32	4	60 73 78 531 694 822 891 904 1446 
34	PK234	20	12	15 73 78 172 720 881 891 1169 1420 
35	DAL119	33	9	16 19 61 103 111 382 543 1595 
36	DAL300	34	5	14 16 123 553 805 1094 1446 
37	CARP25	35	6	16 19 257 406 434 
38	DAL300	35	16	16 51 103 340 468 848 1639 
39	TH224	36	11	17 298 605 705 1623 
40	PK179	37	2	18 104 298 456 539 705 744 802 830 858 872 922 1084 1464 1594 1623 
41	PK234	38	5	19 44 48 70 86 180 191 214 374 1528 
42	TH224	39	12	20 100 479 741 1102 1640 
43	PK20	40	11	21 37 49 53 58 64 65 66 77 96 97 98 106 118 129 141 171 179 193 196 199 209 255 263 278 280 289 301 318 380 395 404 407 427 430 466 483 487 523 528 535 536 603 607 615 671 716 793 1104 1406 1469 1477 
44	PK349	41	5	21 53 77 95 97 98 114 129 131 276 280 289 301 350 354 380 392 446 471 501 503 512 528 535 603 670 876 883 1452 1456 1469 1624 1635 
45	PK25	19	6	22 24 88 94 136 258 271 537 556 592 602 691 693 721 734 737 809 853 873 
46	PK179	42	15	23 37 230 422 496 575 791 798 847 858 942 996 1008 1087 1106 1595 
47	PK349	43	12	23 42 106 118 156 178 184 196 233 267 318 345 349 390 446 464 478 483 486 536 598 742 835 843 883 923 1555 
48	PK278	44	17	23 30 114 117 118 276 278 345 349 350 380 381 466 478 501 528 535 670 713 1469 1532 
49	PK179	45	5	23 37 93 184 274 363 435 630 683 803 864 930 979 1005 
50	PK349	46	2	24 121 145 245 315 333 341 413 473 484 504 543 547 577 580 606 616 667 732 776 910 977 1026 1046 1064 1085 1110 1111 1184 1207 1459 1479 1480 1545 1560 
51	PK349	47	11	24 136 153 154 258 271 312 321 329 413 636 721 775 798 809 930 934 937 1139 1178 1187 1203 1209 1237 1298 1311 1352 1369 1397 1402 1410 1447 
52	PK338	9	4	25 65 76 93 140 180 208 238 319 374 677 736 1000 1430 
53	PK179	48	11	26 264 519 1173 1197 1201 1242 1292 1331 1362 1391 1417 1475 
54	TH224	32	16	26 176 337 955 1003 1281 
55	PK243	49	9	27 89 242 336 748 849 931 1008 1543 1558 
56	PK20	15	14	28 237 260 411 457 567 751 760 772 927 946 992 1049 1058 1060 1077 1118 1122 1138 1146 1169 1195 1199 1204 1216 1227 1241 1245 1247 1268 1280 1313 1319 1323 1328 1345 1351 1354 1359 1365 1366 1371 1382 1478 1524 1602 
57	PK20	50	9	29 64 87 160 164 210 227 234 241 251 256 268 269 271 294 314 391 393 524 564 651 656 692 715 733 752 757 768 777 815 1031 1091 1094 1114 1127 1134 1152 1166 1186 1208 1214 1220 1241 1243 1246 1258 1261 1289 1294 1305 1309 1312 1329 1336 1341 1375 1394 1402 1428 1488 1494 
58	DAL315	33	17	31 286 391 635 703 708 975 1429 1448 1470 1494 
59	PK179	14	12	31 43 107 119 145 170 177 425 504 538 591 613 1585 
60	PK25	38	2	34 137 143 150 172 189 195 198 254 301 303 310 320 405 535 596 611 832 871 1574 
61	PK179	4	3	75 105 125 130 281 477 542 590 599 672 721 998 1437 1575 1630 
62	PK278	4	8	36 38 69 75 82 105 115 120 130 205 277 281 348 353 477 505 593 672 679 680 684 710 851 1437 
63	PK25	51	3	36 99 108 364 365 376 380 445 458 501 505 705 847 864 873 1476 1488 1531 1644 
64	TH224	52	13	36 505 575 732 885 
65	CARP21	19	17	37 473 557 568 775 786 805 1087 1149 1447 1473 1476 1489 
66	CARP25	53	17	38 243 290 711 
67	PK179	54	14	11 40 56 73 388 397 424 426 440 444 601 664 675 1449 
68	CARP21	55	9	40 73 137 143 150 172 195 198 303 310 320 405 611 683 1475 
69	PK338	56	10	40 47 67 86 91 107 108 109 133 139 160 161 337 352 429 703 820 922 996 
70	DAL300	57	17	42 355 435 536 698 1552 
71	PK25	58	11	44 93 206 226 268 274 300 305 331 372 387 574 585 619 657 769 1476 1483 1485 
72	PK20	55	4	45 219 223 224 225 226 230 232 252 287 306 307 312 330 331 334 361 367 372 411 412 448 450 451 452 453 490 516 519 521 549 551 574 576 583 587 616 633 650 686 720 731 756 766 770 778 785 1122 1132 1139 1148 1151 1178 1190 1193 1205 1239 1242 1245 1250 1262 1275 1276 1283 1314 1321 1363 1368 1370 1379 1391 1401 1429 1476 1484 1554 1556 
73	PK338	59	13	45 46 55 122 128 132 283 284 291 416 442 499 510 534 666 701 704 841 888 1526 1569 
74	DAL119	25	10	38 105 130 597 711 1641 
75	DAL315	35	9	49 168 339 359 413 465 795 996 1073 1536 1589 
76	CARP21	60	10	50 124 512 513 573 589 594 635 642 678 690 1047 1066 1271 
77	PK179	61	4	313 338 530 550 552 716 1611 
78	PK25	13	12	25 51 558 636 651 759 809 827 889 898 936 960 1111 1164 1191 1222 1298 1479 
79	PK234	62	14	51 87 275 377 392 475 723 821 1581 
80	PK338	63	14	52 95 239 255 304 326 409 437 449 632 641 725 746 761 769 874 944 1089 1096 1458 1615 1631 
81	PK20	64	13	52 127 135 148 178 216 256 296 323 332 356 486 520 619 622 638 661 714 730 747 761 763 789 1060 1119 1152 1154 1192 1214 1223 1236 1244 1257 1279 1284 1288 1292 1311 1317 1318 1341 1379 1418 1491 1525 1566 1576 1636 
82	PK336	65	12	53 140 372 485 500 517 593 774 1409 
83	PK179	24	8	54 307 384 708 803 861 870 882 939 951 1440 1457 1528 
84	CARP25	66	1	55 519 534 1293 1541 1569 
85	TAYF	67	5	55 243 283 860 
86	DAL119	49	11	57 506 669 713 849 921 1090 
87	TAYF	68	10	58 116 671 
88	PK278	69	11	355 414 582 749 792 948 1009 1016 1017 1023 1028 1030 1032 1040 1072 1086 1452 1499 1500 1591 1592 1643 
89	PK338	70	17	59 74 106 127 146 151 152 162 234 275 411 444 543 571 579 591 617 620 649 717 801 1000 
90	EHLEC	71	13	59 
91	EHLEC	72	6	531 844 
92	PK234	71	6	60 210 309 317 711 745 782 977 1374 1460 
93	DAL315	73	4	61 344 672 833 875 899 943 999 1036 1351 1463 1467 1551 
94	PK349	74	7	63 87 99 153 165 167 169 187 195 231 234 294 314 325 329 331 338 386 409 445 465 495 510 526 548 575 584 595 643 653 723 728 741 802 862 892 1574 
95	PK20	75	12	64 128 131 207 247 270 327 365 410 427 487 491 522 601 654 718 722 752 776 808 984 1081 1123 1130 1161 1174 1179 1182 1198 1201 1202 1211 1225 1236 1240 1270 1322 1332 1342 1348 1356 1371 1381 1384 1389 1393 1403 1425 1541 1559 1584 
96	PK179	76	6	64 114 156 179 184 196 278 350 381 430 533 598 603 647 905 908 1477 1576 
97	PK243	77	1	68 144 161 302 676 856 988 1426 1438 1457 
98	TAYF	52	11	71 88 110 
99	PK278	78	12	71 72 87 101 103 244 252 266 351 359 430 438 468 568 667 693 715 729 734 735 757 1595 
100	TH224	79	1	108 188 258 445 626 
101	DAL315	80	10	73 143 150 172 195 303 310 320 324 405 1475 
102	PK336	81	13	78 149 187 362 1542 1586 
103	TH224	72	2	78 292 822 928 1407 1446 
104	PK243	49	10	76 79 276 316 511 610 974 1367 1396 1403 1604 
105	PK338	22	3	11 79 89 95 174 205 455 588 641 663 843 956 981 1074 1076 1564 
106	PK243	82	8	81 173 175 183 186 397 416 447 612 745 
107	CARP25	66	7	81 694 1254 
108	TAYF	83	12	1 82 859 
109	TAYF	84	2	82 112 115 957 1540 
110	PK25	82	13	83 219 240 328 368 452 580 765 781 1127 1220 1238 1287 1290 1483 1512 1557 
111	TAYF	85	17	83 977 992 1366 
112	PK234	39	8	20 85 100 101 469 513 806 1637 
113	PK336	34	14	89 252 352 361 460 499 543 1482 1502 
114	PK25	86	4	90 173 215 221 260 284 628 767 788 818 825 842 862 927 980 1013 1024 1039 1049 1587 
115	DAL315	87	11	92 287 515 549 631 778 877 912 973 1024 1052 1495 
116	PK25	88	14	72 94 165 220 257 351 382 417 450 455 584 662 872 918 1010 1272 1444 1575 1580 
117	DAL315	81	16	80 84 94 104 113 165 295 455 627 629 918 924 1444 1486 
118	DAL119	32	12	14 95 212 408 484 640 928 1411 
119	PK234	89	9	96 116 126 179 188 201 481 699 852 893 
120	PK25	90	7	102 208 251 361 419 453 540 541 602 631 683 771 836 916 940 1007 1495 1534 1614 1634 
121	PK179	29	7	148 203 379 383 470 508 532 681 687 690 724 730 1439 1586 
122	TAYF	67	6	103 164 187 1573 
123	PK20	91	15	67 70 81 108 121 139 144 155 185 190 206 236 241 274 280 282 326 333 337 375 399 408 412 428 433 469 470 484 504 535 547 591 657 668 686 695 766 769 799 831 952 965 1085 1465 1484 1528 
124	PK25	92	8	111 270 549 595 615 633 645 719 787 817 837 912 956 1039 1049 1088 1334 1459 1570 1580 
125	PK338	93	1	112 202 329 402 693 1305 1362 1392 1393 
126	PK179	94	13	112 125 188 246 385 599 613 641 654 776 985 1037 1089 1441 1461 
127	TH224	4	4	116 542 590 706 712 848 1630 
128	PK179	95	16	112 117 193 204 503 509 961 997 1056 1061 1062 1065 1075 1504 1555 1561 
129	PK234	96	15	44 120 167 527 599 680 895 908 914 
130	PK20	97	2	122 149 163 212 228 229 246 250 253 304 313 342 344 371 377 384 406 412 450 468 555 558 559 585 622 645 648 660 661 662 721 747 761 770 775 780 783 788 976 1011 1014 1055 1079 1103 1121 1126 1127 1132 1134 1137 1140 1141 1145 1148 1150 1155 1157 1167 1168 1175 1189 1192 1193 1195 1203 1206 1209 1218 1226 1230 1233 1242 1246 1270 1295 1297 1313 1319 1323 1326 1337 1343 1344 1348 1356 1363 1365 1367 1368 1370 1374 1378 1380 1384 1385 1387 1395 1400 1413 1417 1419 1422 1433 1434 1435 1441 1483 1508 1517 1583 1608 
131	PK234	98	10	46 122 132 309 442 704 746 1059 1443 
132	DAL315	99	12	123 134 157 222 346 357 362 387 565 597 838 1235 
133	PK338	100	5	128 266 396 416 510 520 594 715 940 945 1031 1103 1114 1224 1264 
134	PK349	14	17	131 186 264 283 315 341 352 484 582 589 618 695 781 959 1263 1318 1329 1353 1363 1444 1452 1492 1533 1611 1642 
135	DAL315	101	13	134 235 267 295 552 582 597 627 1018 1066 1402 1426 
136	TAYF	102	13	72 605 
137	TH224	47	3	136 194 312 556 734 934 937 
138	PK25	103	15	138 237 413 468 490 526 736 931 1019 1040 1050 1051 1136 1177 1275 1477 1511 1516 1562 
139	DAL315	104	5	100 140 158 400 629 677 696 850 909 917 953 1090 1533 
140	PK349	7	14	139 142 144 160 174 176 181 185 190 200 341 375 420 547 550 559 563 606 668 676 682 695 697 702 709 828 
141	PK20	26	3	141 143 203 219 222 232 244 245 254 320 367 399 408 411 432 483 490 569 581 583 619 635 647 655 656 664 688 740 755 756 757 784 786 871 976 1044 1105 1109 1113 1116 1125 1137 1140 1144 1151 1153 1155 1156 1159 1163 1176 1177 1182 1185 1192 1196 1205 1209 1213 1215 1232 1237 1238 1239 1244 1247 1274 1278 1296 1315 1325 1329 1337 1338 1339 1342 1344 1357 1364 1378 1383 1393 1397 1399 1400 1401 1412 1419 1425 1478 1493 1618 
142	PK278	68	3	146 159 188 189 247 291 315 378 504 525 580 617 706 781 813 819 826 838 848 880 933 987 1352 1551 
143	PK349	105	13	165 181 184 229 337 358 375 376 395 449 456 465 488 563 589 774 791 793 886 899 951 954 994 1044 1099 1100 1547 
144	PK336	1	2	200 214 259 518 1035 1424 
145	PK20	74	6	137 150 178 204 218 233 247 249 261 262 310 327 335 363 373 401 405 439 448 462 464 494 500 516 525 542 557 604 611 632 639 644 650 671 722 763 1009 1016 1021 1022 1070 1129 1136 1162 1165 1178 1198 1210 1211 1212 1240 1254 1259 1260 1273 1317 1320 1325 1327 1330 1349 1362 1364 1376 1377 1389 1406 1418 1421 1474 1607 
146	DAL300	50	10	151 206 251 441 549 1053 1411 
147	DAL315	106	1	147 153 476 652 681 743 758 773 810 815 995 1507 1638 
148	PK243	107	11	155 223 357 358 431 459 621 649 959 971 1535 
149	DAL300	36	9	156 229 434 555 627 744 1501 
150	DAL119	37	16	97 156 221 449 927 972 1572 
151	PK336	15	3	158 463 1010 1170 1224 1290 1301 
152	CARP21	108	4	105 159 186 335 355 371 478 518 580 748 804 958 1101 1483 1603 
153	PK278	109	10	101 162 169 173 210 363 367 402 658 684 771 1115 1123 1131 1162 1183 1187 1207 1217 1227 1424 1447 1472 
154	PK234	20	1	99 162 250 292 314 443 614 692 1101 1312 
155	DAL119	110	17	163 339 491 495 624 776 1081 
156	PK179	111	17	165 288 298 351 537 569 702 737 797 820 886 924 949 1099 1446 1585 
157	PK349	23	15	74 166 259 277 378 437 640 658 678 719 746 754 778 787 927 1007 1013 1014 1024 1119 1219 1256 1264 1285 1422 1433 1606 1628 1629 
158	PK278	112	13	168 211 579 636 762 891 966 975 992 1078 1168 1179 1202 1234 1268 1275 1291 1315 1340 1416 1487 1599 
159	TH224	113	5	135 168 285 286 585 915 1610 
160	PK278	8	14	173 215 256 330 673 696 749 1131 1140 1149 1164 1179 1191 1208 1231 1327 1337 1343 1394 1415 
161	PK243	52	12	167 174 385 625 703 758 902 903 934 1538 
162	DAL300	46	1	139 174 547 580 667 702 776 922 
163	PK338	114	11	178 338 573 1111 1118 1129 1134 1199 1252 1281 1284 1302 1414 1416 1420 
164	PK338	115	2	179 247 324 327 336 497 593 623 626 647 792 1158 1161 1186 1255 1334 1430 1445 1537 
165	TH224	52	6	109 181 676 847 979 1473 
166	PK25	101	9	67 71 84 88 99 171 182 228 235 338 484 573 660 747 1311 1453 1546 
167	PK243	116	13	175 183 371 393 438 646 941 1063 1453 1503 
168	PK25	95	1	190 216 217 225 264 323 354 360 397 493 520 641 698 742 950 978 1004 1012 1071 1577 1578 1613 
169	CARP21	98	1	83 192 309 317 610 612 646 651 859 879 1063 1088 1428 1454 1460 1553 1582 
170	TAYF	5	7	193 632 839 1539 
171	PK278	110	4	193 216 239 404 407 437 554 653 791 1196 1220 1222 1232 1235 1278 1304 1342 1346 1358 1372 1399 1415 1513 
172	TH224	117	14	120 194 592 
173	PK338	102	6	194 236 334 369 451 489 599 614 638 655 764 1261 1274 1310 1324 1419 
174	PK243	118	14	197 370 403 482 628 818 911 919 1605 
175	PK243	119	15	204 225 264 503 572 742 1045 1062 1145 1321 1577 
176	PK234	55	16	27 206 404 531 1290 1358 1369 1419 
177	EHLEC	58	14	208 850 
178	TH224	120	7	215 321 435 486 658 720 
179	PK278	121	1	26 211 212 328 621 660 829 906 989 1057 1300 1423 1493 1588 1597 
180	PK278	122	2	169 241 340 401 463 727 786 866 1109 1114 1122 1159 1164 1219 1222 1280 1320 1327 1347 1355 1358 1359 1375 1431 
181	CARP25	123	8	215 218 401 650 1377 
182	DAL315	108	6	217 571 623 838 890 901 934 1064 1067 1072 1480 1483 1579 
183	PK179	75	9	66 217 264 425 466 472 480 507 607 714 739 742 865 938 950 
184	PK338	49	7	209 218 249 392 439 572 596 1017 1121 1386 1499 1617 
185	CARP21	124	11	220 228 562 609 768 1077 1115 1160 1249 1257 1266 1294 1423 1517 1609 
186	DAL315	125	2	153 220 394 396 470 507 600 634 640 756 869 896 993 1037 
187	PK336	126	6	224 926 1068 1296 1510 
188	PK336	127	7	113 227 493 1554 
189	PK20	77	8	96 211 219 231 263 272 325 332 336 342 363 398 421 461 485 491 584 588 622 634 637 639 661 690 706 758 765 781 785 1091 1124 1133 1143 1149 1154 1159 1172 1173 1206 1213 1214 1224 1229 1231 1270 1273 1282 1308 1312 1325 1336 1345 1346 1361 1368 1385 1387 1424 1442 1453 1478 1493 1522 1575 
190	CARP21	85	12	237 248 259 265 279 284 370 457 628 696 788 816 818 1466 
191	PK20	108	5	155 202 237 250 322 329 389 453 465 487 494 663 685 750 751 760 772 780 1020 1110 1112 1118 1126 1132 1133 1135 1138 1141 1180 1188 1189 1194 1199 1200 1210 1223 1226 1230 1248 1251 1260 1263 1265 1266 1271 1280 1295 1296 1307 1309 1315 1316 1320 1328 1333 1335 1338 1354 1355 1363 1365 1372 1376 1383 1391 1392 1398 1401 1405 1406 1408 1428 1474 1505 1543 1554 1626 
192	PK349	40	6	238 521 784 880 1028 1032 1112 1156 1177 1188 1190 1196 1200 1205 1221 1250 1262 1263 1272 1281 1284 1306 1314 1316 1335 1350 1353 1354 1355 1360 1383 1398 1414 1544 
193	PK25	128	16	217 239 359 434 525 613 623 753 769 774 1124 1169 1206 1218 1269 1273 1458 
194	EHLEC	129	16	242 789 
195	PK338	10	12	243 253 280 589 751 878 982 1073 1432 1455 1514 
196	CARP21	130	13	27 80 102 249 404 562 572 583 686 1226 1353 1376 1507 1523 1567 
197	EHLEC	104	7	250 279 804 
198	DAL315	60	14	266 325 609 625 768 840 846 1011 1404 1596 
199	CARP21	44	5	42 56 210 267 270 390 404 439 557 615 716 720 797 1130 1472 
200	PK349	131	3	207 270 271 285 326 331 337 412 447 496 514 547 571 620 624 649 657 1082 1093 1094 1188 1246 1260 1289 1309 1318 1323 1336 1353 1356 1367 1371 1382 1556 
201	PK278	53	15	132 201 273 374 414 568 884 1125 1152 1158 1160 1167 1191 1207 1223 1230 1239 1266 1276 1369 1372 
202	TAYF	132	14	882 909 
203	PK20	133	17	12 255 262 267 304 324 366 419 502 541 652 722 727 800 1136 1145 1171 1180 1200 1211 1216 1221 1233 1259 1297 1306 1308 1313 1326 1331 1343 1360 1361 1374 1389 1395 1414 1427 1558 
204	TH224	129	15	72 289 837 867 913 1021 
205	DAL300	32	11	292 314 341 441 455 544 548 
206	PK234	20	17	149 303 318 362 515 600 754 792 1197 
207	PK336	134	16	304 321 348 447 648 925 1048 1081 1421 
208	PK336	98	17	308 730 790 810 827 962 1443 1526 1527 
209	DAL315	128	7	2 154 168 214 312 316 522 986 1347 1417 1449 
210	CARP21	126	2	224 317 488 536 565 621 659 739 743 789 855 1068 1117 1256 1411 1573 
211	DAL119	135	1	327 459 796 1025 1080 1633 
212	CARP25	136	12	331 389 460 
213	PK25	137	5	230 341 488 515 731 735 783 950 1157 1168 1187 1218 1221 1269 1279 1291 1293 1303 1374 1387 1423 
214	EHLEC	130	15	343 604 
215	CARP21	138	3	69 109 293 302 345 533 551 553 576 587 861 983 1442 1470 1534 1541 
216	CARP25	88	9	350 400 451 498 1559 
217	TH224	41	8	77 131 301 503 1452 1456 1532 
218	DAL119	84	13	277 316 353 360 883 1407 1458 1590 
219	DAL315	132	15	354 466 480 507 714 739 948 950 1450 1578 1601 1613 
220	TH224	139	17	418 426 608 1455 
221	PK336	140	15	84 327 359 366 447 712 1413 1441 
222	EHLEC	141	17	364 724 
223	TAYF	52	8	364 786 947 996 
224	PK278	142	6	366 554 1139 1143 1182 1203 1217 1256 1258 1267 1304 1340 1344 1346 1361 1373 1385 1388 1392 1409 1509 1632 
225	PK336	36	1	369 613 639 770 1351 1484 
226	PK278	82	7	346 369 789 1124 1146 1162 1181 1185 1194 1195 1213 1227 1234 1249 1251 1328 1338 1349 1390 1397 1398 1400 1403 1460 
227	DAL300	79	13	8 253 379 737 773 930 
228	PK243	143	16	382 402 863 1137 1217 1278 1472 1490 1506 1586 
229	DAL119	78	2	111 191 257 382 434 684 913 1069 1448 
230	TAYF	17	15	388 440 834 
231	CARP25	123	16	397 418 426 608 670 854 
232	CARP25	94	2	61 414 779 1019 
233	DAL119	102	14	456 705 773 851 1464 1468 1572 
234	EHLEC	144	1	420 1451 1531 1568 
235	CARP25	145	3	422 530 532 814 841 
236	PK336	20	4	325 431 439 598 932 1299 
237	EHLEC	42	2	437 556 937 1006 
238	TAYF	146	16	162 443 
239	EHLEC	141	3	34 993 1428 1471 
240	PK336	147	9	1481 
241	DAL300	132	3	86 91 507 923 958 1457 1537 1601 
242	TAYF	145	1	141 261 361 701 1620 
243	PK243	66	17	289 311 317 319 360 497 565 837 867 913 
244	PK229	145	17	496 
245	DAL300	79	14	145 498 617 937 1310 
246	CARP25	79	4	485 498 558 725 744 1623 
247	PK336	145	8	499 1077 1349 1384 1455 
248	DAL119	148	3	383 511 618 787 1128 1147 1396 1571 
249	CARP25	20	10	106 515 1147 1627 
250	TAYF	75	3	517 895 907 1107 1505 
251	TAYF	149	4	141 309 329 461 1520 
252	TAYB	142	1	518 
253	TAYB	32	3	524 
254	CARP21	150	14	43 182 467 492 529 538 544 545 560 561 564 570 578 581 1095 
255	CARP21	80	15	43 182 467 492 529 538 544 545 560 561 564 570 578 581 1095 
256	CARP21	151	16	43 182 467 492 529 538 544 545 560 561 564 570 578 581 1095 
257	PK234	86	11	33 474 482 546 563 566 567 577 586 767 
258	DAL300	141	2	332 573 715 1043 1095 1390 1439 1542 
259	TAYB	36	2	605 
260	TAYB	142	4	612 
261	PK338	152	15	373 615 1027 1036 1052 1054 1277 1302 1324 1341 1570 
262	EHLEC	141	8	626 
263	PK243	83	2	316 489 656 1063 1125 1170 1176 1190 1404 1416 1578 
264	DAL119	153	15	541 630 800 812 877 912 1529 
265	PK336	115	5	248 265 640 868 977 1234 
266	PK338	49	8	80 170 225 238 240 427 521 574 644 731 1128 1157 1322 1373 1421 1558 
267	PK349	137	16	370 432 758 1060 1110 1170 1184 1202 1204 1215 1231 1240 1248 1250 1257 1265 1294 1307 1350 1378 1396 1399 1413 1422 1425 1488 1541 
268	DAL119	59	4	20 55 291 340 441 642 726 1108 1526 
269	PK229	96	1	673 807 
270	EHLEC	65	10	469 1640 
271	DAL300	92	4	85 265 688 1029 1034 1563 
272	CARP25	121	5	694 822 904 1153 1175 1197 
273	TAYB	154	5	743 
274	TH224	65	9	53 479 774 824 929 970 1630 
275	PK229	19	9	6 
276	DAL300	155	6	113 306 785 918 1006 1520 1586 
277	TH224	32	10	548 1121 1255 1407 
278	TAYB	66	6	837 
279	PK229	32	2	844 874 
280	PK229	130	8	849 
281	PK229	156	4	867 894 
282	TAYB	32	17	897 
283	PK243	156	3	328 562 821 920 1126 1212 1253 1410 1427 1496 1619 
284	PK229	66	10	1043 1439 
285	TAYB	42	7	1083 
286	DAL119	103	5	1087 1147 1225 1299 1515 1518 1520 1521 
287	PK20	84	1	794 1091 1092 1093 1094 1109 1110 1111 1112 1113 1114 1115 1116 1117 1118 1119 1120 1121 1122 1123 1124 1125 1126 1127 1128 1129 1130 1131 1132 1133 1134 1135 1136 1137 1138 1139 1140 1141 1142 1143 1144 1145 1146 1147 1148 1149 1150 1151 1152 1153 1154 1155 1156 1157 1158 1159 1160 1161 1162 1163 1164 1165 1166 1167 1168 1169 1170 1171 1172 1173 1174 1175 1176 1177 1178 1179 1180 1181 1182 1183 1184 1185 1186 1187 1188 1189 1190 1191 1192 1193 1194 1195 1196 1197 1198 1199 1200 1201 1202 1203 1204 1205 1206 1207 1208 1209 1210 1211 1212 1213 1214 1215 1216 1217 1218 1219 1220 1221 1222 1223 1224 1225 1226 1227 1228 1229 1230 1231 1232 1233 1234 1235 1236 1237 1238 1239 1240 1241 1242 1243 1244 1245 1246 1247 1248 1249 1250 1251 1252 1253 1254 1255 1256 1257 1258 1259 1260 1261 1262 1263 1264 1265 1266 1267 1268 1269 1270 1271 1272 1273 1274 1275 1276 1277 1278 1279 1280 1281 1282 1283 1284 1285 1286 1287 
288	PK243	157	4	130 213 240 385 925 1113 1116 1163 1302 1375 1441 
289	DAL119	158	6	220 284 495 607 634 1395 1451 1465 1517 
290	EHLEC	79	5	39 729 1254 1436 
291	PK229	63	3	133 
292	DAL300	115	8	314 548 614 1563 1587 
293	EHLEC	157	9	79 82 1581 
294	PK336	127	10	609 1586 
295	EHLEC	159	11	378 710 1462 
296	TAYF	124	9	493 646 896 1497 
297	CARP25	160	11	700 732 1612 
298	DAL300	161	15	485 522 567 638 768 1540 1550 
299	PK229	161	12	663 1472 
300	EHLEC	71	12	197 700 1621 
301	TAYB	147	8	361 
302	PK229	161	13	639 1490 
303	PK229	117	5	197 1008 
304	PK229	108	14	265 884 
305	EHLEC	18	4	169 1083 
306	PK229	142	15	552 1531 
307	PK229	69	6	201 481 
308	PK229	144	16	309 1549 
309	TAYB	142	9	
310	PK349	162	1	266 1295 1315 1316 1317 1320 1321 1322 1323 1325 1329 1330 1333 1334 1349 1354 1355 1356 1363 1365 1367 1371 1372 1376 1381 1382 1383 1384 1385 1386 1387 1389 1395 1405 1477 
311	PK229	146	11	701 
312	PK336	100	11	
313	TAYB	68	11	1598 
314	PK229	147	7	306 1286 
315	TAYB	147	16	
316	TAYB	142	10	1616 
317	EHII	117	1	674 
318	EHII	3	2	531 
319	EHII	163	3	918 
320	TAYB	142	12	1103 
